D_Dbuild,D_StructureSystem_RC,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_floorTAGround,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_Y4brickwall,D_Y3brickwall,D_basintype,D_475Acc,D_I,D_Demand,D_Tx,D_Ty,D_sds,D_sd1,D_td0,D_sms,D_sm1,D_tm0,D_windows,D_patitionwall,D_nonstructure,D_CLlarge,D_CLsmall,D_MaxCl,D_NeutralDepth,D_Ra_Capacity,D_Ra_CDR,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_isR
2016.0,1.0,,,0,0.0,0.0,0,0.0,0.0,-151440.34567341363,0.0,1.0,0.0,0,0.0,4.0,,0.0,,0.0,16.0,27200.0,0.0,0.0,282200.0,98600.0,152429.4809529413,3003310221252.783,157500.0,-1108547.5220380418,0.24,1.25,0.24,0.39,-59.50292217661641,,0.6330125740732431,0.99,,,-178200.1742224118,1.0,1.0,1.0,0.0,4,24420118.05790389,3.5,,,15.6,1741249.495134309,319336.0,1341.26,147.99140222885705,2926.2110501495044,,1
2011.0,1.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,3.0,3220.347033089534,571.49,11.0,13250.0,34.0,64500.0,3.0,2880.0,690000.0,0.0,575038.6953033209,2925072.571668973,,2.0,0.28,1.25,0.28,0.31,-39.074329115031944,0.7,,0.57,,,,,1.0,88512.27486225651,0.0,,0.3,4.9,,,13.4,-1827476.2787392852,548473.4,2312.32,95.82275958023675,,2800.0,1
,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,-591592.668680596,0.0,,176970.45531418026,5.0,2408459086.0846806,888.5,0.0,0.0,20.0,111400.0,0.0,0.0,0.0,0.0,38151.397905032456,1582773.9514744254,0.0,1.0,0.3,1.25,0.3,-138177.3034809084,61.73147186430677,0.76,0.5280922570771615,0.75,,,,-112323.14851738322,1.0,0.0,0.0,6,0.04,2.7,,,21.45,7244065.866169971,983862.5,3935.45,,4041.490200307131,2800.0,0
2008.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,,0.0,0.0,1.0,0.0,,0.0,3.0,942.2425633262792,427.0,0.0,9197658851.738707,36.0,49520.0,0.0,0.0,15600.0,19200.0,58658.81938411246,-1299848.3512999266,5000.0,1.0,0.28,1.25,,0.3,-108.46996656149253,0.7,0.29755624806660574,,,,,1.0,1.0,0.0,,6,0.12,2.0,,,10.9,3537393.936629178,384030.0,1280.1,195.79591823024828,2706.29349678155,2800.0,1
1896.0,0.0,0.0,,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,1364.4192698820596,,,0.0,26.0,54600.0,8.0,9800.0,0.0,219300.0,19355.462612074974,-1248375.887558795,14850.0,1.0,0.25,1.25,,0.27,-82.18461255281693,,,,,,,1.0,0.0,,,1,,,,,5.95,6840851.713938961,96800.0,968.0,-117.7672612440394,-35657104.189697966,2800.0,0
1945.0,1.0,0.0,,0,,0.0,0,57779.40980779785,0.0,1.0,0.0,0.0,0.0,0,0.0,3.0,2516.699995835347,416.94,0.0,0.0,50.0,87500.0,-178380537.58227345,,28800.0,14400.0,-1876.9994090951222,720106.6573111382,0.0,2.0,0.36,1.25,0.36,0.45,-74510213.89792915,0.9,,0.77,,,,1.0,1.0,0.0,,5,0.49,3.3,,,12.0,5015088.182210686,753465.5,2659.29,36.109530390141146,2991.3845191563355,2800.0,1
2000.0,1.0,0.0,0.0,0,0.0,,0,0.0,-275063.7351257432,0.0,0.0,0.0,-164513.32595726658,,0.0,3.0,3522.311756806095,0.0,0.0,0.0,34.0,267750.0,-23260700.308103245,0.0,0.0,0.0,79320.73800320714,,,-2246416.859486313,0.29,1.25,0.29,0.55,110.38052691923316,0.72,,0.62,,115830.46378040874,92850.03938417963,1.0,1.0,1.0,,8,0.03,4.5,,212366.12542188363,14.72,2280811865728.0146,1289113.43,4325.88,317.00983199933484,4081.97228427871,2800.0,0
1955.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,8022.560258737063,0.0,,1.0,,0,0.0,2.0,-1253581434.2433448,,0.0,0.0,32.0,56000.0,0.0,0.0,0.0,0.0,41213.358336123434,-1085738.15795541,21600.0,2.0,0.28,1.25,5740.590673213023,0.22,-5.52662702496849,0.7,0.5323667142892945,,,,,1.0,1.0,0.0,0.0,2,0.0,1.8,,,7.2,1643950.084477027,240010.0,,121.7528420852577,2663.206992778619,,1
-12522663.763043836,1.0,0.0,0.0,0,0.0,0.0,,,0.0,,0.0,1.0,0.0,,0.0,-1048670.7203807274,861.5257323235179,199.89,0.0,-13422396728.171211,18.0,69287610067.97595,,0.0,0.0,0.0,110440.5753371219,1644420.7662962237,-1576445219690.4097,379754.1834418544,0.34,1.25,0.34,0.45,63.030900992782776,0.8,0.5526274079940635,0.71,,,,1.0,1.0,1.0,0.0,4,0.04,,,,12.25,-393589.8573084688,267195.0,890.65,202.42519740799324,2637.2089585371978,,1
2018.0,1.0,0.0,0.0,0,0.0,,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,3.0,901.0215426771701,402.48,0.0,,24.0,54600.0,348493411.1189694,0.0,103750.0,217500.0,-91107.6575427617,197037.14054785715,621250.0,,,1.25,0.32,0.29,-5.9175937963809195,0.8,0.49775670896792973,0.56,,139853.48690145023,,1.0,1.0,,,4,0.42,3.0,,,7.55,1780327.5654195966,287100.0,1241.1,100.38652966148346,375477855.7057844,2800.0,0
