D_floorTAGround,D_Demand,D_MaxCl,D_NeutralDepth,D_sd1,D_td0,D_sds,D_patitionwall,D_nonstructure,D_Ty,D_windows,D_Tx,D_I,D_475Acc,D_basintype,D_CLlarge,D_CLsmall,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_Dbuild,D_Y3brickwall,D_StructureSystem_RC,D_Y4brickwall,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_isR
0.0,0.24,0.23,6.5,0.9729391364829528,1.6,0.6,1.0,1.0,111.2574592123879,1.0,,1.25,0.24,4.0,0.0,9.0,10.5,6191882.698612353,468180.0,1652.4,360.88171544349353,2645.211509053408,2800.0,1919.0,17250.0,1.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,2.0,2872.977537279432,0.0,,28.0,39200.0,0.0,,,,92782.78839380069,1
0.0,,0.1,4.5,0.5063624203902728,0.74,0.7,1.0,,70.1573114400672,1.0,,1.25,,2.0,,6.0,7.0,,278451.5,1257.98,65.53470627138717,2684.205697901884,2800.0,1964.0,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,1.0,2018.6770310204183,0.0,,24.0,,,2640.0,,,84584.35751147213,1
,,,5.0,0.6779404170845839,0.83,0.79,1.0,0.0,22.84669237959936,1.0,0.42,1.25,0.32,,2.0,7.0,10.8,,332460.0,,,,2800.0,1971.0,,1.0,2582415.467860101,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1576.7524692264574,0.0,,32.0,96000.0,2.0,2250.0,,,147594.9655239932,1
,0.31,0.2,8.2,0.6649602720815453,1.3,0.77,1.0,1.0,19.55531743253252,1.0,0.3,,0.26,3.0,,2.0,18.5,8651261.095598714,629600.0,2118.0,152.73817360646004,2843.674964454639,2800.0,2019.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,831.6688960574951,,,36.0,28800.0,0.0,,,5280.0,,1
,0.39,0.09,,0.6940654938285311,0.68,0.98,,2.0,37.40482596606629,,0.41,1.25,0.39,2.0,0.0,3.0,10.5,,801900.0,2673.0,167.66817185174634,2604.078914486008,2800.0,2016.0,,,2070753.644660186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,42.0,58800.0,13.0,10465.0,,38400.0,,1
,0.22,,,0.4277620478870368,0.82,0.55,1.0,,42.88909475407734,1.0,,1.25,0.22,2.0,6.0,2.0,14.4,3358762.189790709,850250.0,3580.0,308.0212635542118,,2800.0,1960.0,,1.0,2185374.2427910483,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3327.674739356524,0.0,,57.0,89775.0,12.0,15000.0,,,144800.39826434827,1
,,,,0.678600219388869,0.83,0.77,2.0,1.0,83.72314577180963,1.0,0.29,1.25,,3.0,1.0,2.0,10.0,5148569.040756106,,,374.5714597358044,2983.489437528504,2800.0,1888.0,,0.0,756097.4600003599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1587.8265659207295,0.0,,15.0,21000.0,0.0,,,,,0
,0.26,,,0.5251007932125642,0.74,0.66,1.0,0.0,58.73491656954451,1.0,0.41,1.25,0.26,,11.0,0.0,10.5,3666582.997546908,340950.0,1202.0,246.4910603788597,2819.987680624178,2800.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1898.467309399342,,,16.0,38400.0,3.0,3750.0,,,133854.62107945734,1
564.0,0.29,0.06,4.2,0.5815779824248495,0.82,,1.0,0.0,55.71959546980883,1.0,0.37,,0.29,,0.0,5.0,,2848346.55020928,648600.0,2256.0,212.48380205244305,4111.808652211598,2800.0,2009.0,,1.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,1.0,0.0,3.0,1473.695331059074,0.0,,24.0,,0.0,,,,149060.9081196392,1
,0.26,,11.0,,0.74,0.66,,1.0,67.75077550829022,1.0,0.43,1.25,0.26,2.0,0.0,6.0,,,540000.0,,211.14424409264933,2712.4135327082963,2800.0,1894.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.0,1231.341268825617,0.0,,,60000.0,,,,41280.0,,1
0.0,0.22,0.8,1.3,0.4835988635465293,0.82,0.55,1.0,1.0,46.95636159945027,1.0,0.18,1.25,0.22,2.0,3.0,0.0,3.65,,,,273.6206961423722,2720.476525288039,2520.0,1946.0,,,2543208.1487521715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,739.0925786038031,5.0,,10.0,,,,,,77383.8341399034,1
0.0,0.24,0.08,,0.6311395674440952,0.99,0.6,1.0,1.0,64.4057811534802,1.0,0.24,1.25,0.24,3.0,0.0,3.0,10.5,1920591.1287208505,412186.5,2747.91,263.0729861329098,2802.5316662699884,2800.0,2002.0,,1.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,2.0,,4.0,4900.0,38.0,46550.0,,,,,104291.689556699,1
452.0,0.41,0.17,3.7,,0.73,1.02,1.0,1.0,54.12344341495263,1.0,0.39,1.5,0.41,2.0,,8.0,9.9,2859240.196916044,217258.5,1448.39,359.58180672839376,2780.583588108139,2800.0,,25320.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,1989.8551712175988,13.0,13003.0,,31200.0,,30480.0,24120.0,,158322.1010575696,1
190.0,0.24,0.19,,0.786961177612834,1.3,0.6,,0.0,,1.0,0.49,1.25,0.24,4.0,0.0,5.0,13.5,4623714.720977715,164750.0,692.5,,2859.280247740852,2800.0,2005.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,3.0,,21.0,27300.0,0.0,,0.0,,,,,1
,0.24,,5.0,0.7277455707709494,,0.6,,1.0,10.459347667345847,1.0,0.55,1.25,0.24,4.0,12.0,1.0,15.6,2224500.9377454594,654607.5,,,2788.059767363047,2800.0,2009.0,,1.0,1429469.6610159292,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,5443.143029392917,0.0,,24.0,69600.0,,,,,185866.8758403359,1
,0.26,0.61,3.9,0.4880382803789134,0.68,0.66,1.0,0.0,,1.0,0.39,1.25,0.26,2.0,6.0,7.0,15.7,,1315200.0,4384.0,319.01907840270616,4258.79682338062,2800.0,2017.0,24000.0,,970499.5035964056,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,4.0,4078.160111694476,0.0,,64.0,161733.0,0.0,,,,135173.023950072,0
563.0,0.24,0.0,4.4,0.7858753640004595,1.3,,1.0,2.0,71.45900856943815,,,1.25,,4.0,0.0,5.0,18.55,,952400.0,2381.0,311.6742582384893,4322.7618195890645,2800.0,1969.0,,1.0,1953900.8655404728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,3.0,3022.758857026864,,,14.0,93600.0,0.0,,,,113295.3067539439,1
0.0,0.24,,4.0,0.7875570392565263,1.3,,1.0,,102.69361119997492,1.0,0.63,1.25,0.24,4.0,13.0,,18.8,8494191.040369064,1347350.0,5009.0,53.12005145123804,2657.7929807002147,2800.0,2008.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3657.029996425517,10.0,31400.0,18.0,40500.0,2.0,,,,113549.22539605045,1
,0.28,,4.4,0.3531356316894085,0.74,0.7,0.0,0.0,99.51081107268752,1.0,,1.25,0.28,2.0,0.0,5.0,,3244605.02538877,1541388.0,3853.47,292.3957176882221,2912.535215361435,2800.0,2012.0,,1.0,518465.75211565057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,2832.485147908324,,62400.0,56.0,134400.0,0.0,,,,,1
506.25,0.32,0.04,,0.4962945784398079,0.56,0.8,1.0,1.0,,,0.59,1.25,0.32,1.0,,5.0,15.2,,,3510.0,,4272.130560551153,2800.0,1904.0,,1.0,949240.1260334942,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,3.0,4475.654121142413,0.0,,28.0,112000.0,0.0,,,,95014.4348325898,1
,0.31,,6.0,0.6841500957337744,0.83,0.77,1.0,1.0,7.838869635769377,1.0,,1.25,0.31,3.0,0.0,3.0,10.5,3782715.13646898,162225.0,1390.5,246.8322639397008,2598.722250781068,,1960.0,,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1565.1116318671184,,,22.0,30800.0,7.0,8575.0,,,153726.15892090657,1
,0.28,,,0.4257130233682346,1.75,0.7,1.0,0.0,48.55847564330671,1.0,0.41,1.25,0.28,,0.0,3.0,10.5,,306500.0,1226.0,108.83774705242134,2919.12533245291,2800.0,1948.0,,1.0,1723919.3905540518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,2.0,,0.0,,22.0,,5.0,4800.0,,,96905.9100885531,1
594.26,0.44,0.03,3.1,0.4332744993920911,0.56,0.8,,0.0,,1.0,0.5,1.5,0.44,1.0,0.0,3.0,3.6,3913490.9343034513,428520.0,1428.4,193.1046090544769,4084.758739535768,2800.0,,,1.0,2218514.542985692,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2295.582104731932,6.0,7536.0,24.0,57600.0,9.0,21600.0,,14400.0,,1
0.0,,0.05,,0.6578973696626476,0.74,1.14,1.0,1.0,49.08188627132195,1.0,,1.25,0.26,2.0,0.0,6.0,15.2,2303168.666249184,198000.0,4472.1,319.07585417406824,2905.4860499252213,,1910.0,,0.0,2865461.4654438915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,3.0,,10.0,16000.0,28.0,24000.0,0.0,,,,93700.39867839142,0
,0.24,,14.0,0.7677046280795474,1.3,0.6,1.0,,5.885716837256684,1.0,,1.25,0.24,,12.0,6.0,22.8,11092098.934503287,1726520.0,,7.04484873275382,,2800.0,1948.0,13944.0,1.0,1054920.5041788742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,6.0,5711.541525972469,0.0,,48.0,123850.0,,12960.0,,,29099.152296747416,1
,0.31,0.17,,0.6310150107248096,0.89,0.77,1.0,1.0,,1.0,,1.25,0.31,3.0,,2.0,7.2,5833518.613621828,,1816.8,,2901.799041702772,,2019.0,,,828934.246145989,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,821.7800528162907,0.0,,,180000.0,0.0,,,,152089.9520196727,1
,,0.01,3.1,0.6309089794730663,0.69,0.85,1.0,2.0,43.96793541927153,1.0,,1.25,0.34,,0.0,2.0,6.2,5665331.3189358935,171856.0,,133.7027051747056,2639.8748687292723,,2019.0,2928.0,0.0,2368457.9912456144,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,1.0,,,,14.0,,11.0,11225.0,6600.0,4440.0,39504.88027922656,1
0.0,0.43,0.11,1.0,0.611049416057329,0.52,1.08,0.0,0.0,,1.0,0.44,1.25,,1.0,0.0,3.0,11.7,,159971.0,685.59,88.6817588502403,2792.3018985215067,2800.0,,,1.0,2532167.525539466,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,4.0,7853.98,,20909.73,0.0,,,,38020.49807732171,1
,0.31,0.15,0.8,0.6737206409853121,0.83,0.77,1.0,1.0,67.1573246686214,1.0,,1.25,0.31,3.0,,,3.6,3962824.7277395576,,,37.80947715292047,2775.822506219949,2800.0,1933.0,,,1675912.8034831244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3276.017507000536,0.0,,36.0,,0.0,,,,,1
0.0,,0.0,2.8,,0.56,0.8,1.0,1.0,16.77895267892518,1.0,,1.25,0.44,1.0,0.0,2.0,7.3,,139782.5,508.3,79.48349627250803,2934.5144316574133,2800.0,2017.0,,1.0,1965790.0079054344,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1334.8322928914122,0.0,,16.0,19200.0,,,,,108630.54044712556,1
,,0.07,4.2,0.465670574603815,0.45,0.75,1.0,2.0,20.836418437313124,1.0,0.45,1.25,0.3,1.0,0.0,4.0,,1613601.140155594,905535.0,,93.59556917146244,,2800.0,1994.0,,1.0,3210285.7375111217,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,4.0,3872.8564989388015,0.0,,32.0,96000.0,0.0,,,,111693.6313537594,1
0.0,0.34,0.08,,0.5607537697212133,,0.85,,1.0,96.1970693217122,1.0,,1.25,0.34,2.0,0.0,3.0,11.16,5735576.56668859,471401.65,807.45,218.1336024769743,2561.254346116254,2520.0,1923.0,,0.0,2843180.314525421,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,,0.0,0.0,3.0,1260.2415232845565,,,15.0,30600.0,0.0,,,13392.0,,1
,0.45,0.07,4.6,0.8160204058295999,0.69,1.14,,,,1.0,0.2,1.25,0.45,2.0,0.0,3.0,4.05,3463618.219865462,198927.0,663.09,29.513499341710546,2590.37952708863,2800.0,1996.0,,1.0,1648471.082774939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,1.0,1053.781190886105,0.0,,46.0,82800.0,0.0,,,,,1
0.0,0.32,0.07,4.0,0.5849698861148944,,0.8,1.0,1.0,33.82473091033267,1.0,0.33,1.25,,2.0,,2.0,3.95,5354506.770345222,129156.5,,6.733051140050378,2923.6555109949736,2800.0,1873.0,,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,8.0,5652.0,,18000.0,,,,18000.0,,1
458.83,0.41,,4.3,,0.69,1.02,1.0,1.0,,1.0,0.42,1.25,0.41,2.0,0.0,4.0,11.0,,311233.0,1328.57,43.11597706554022,2666.6775915867606,2800.0,1888.0,,1.0,1951863.758617203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,900.0053050664449,4.0,13500.0,16.0,50850.0,0.0,,,,29346.46420666139,1
0.0,0.31,0.08,,0.6165296028801185,0.83,0.77,1.0,1.0,73.22651437178502,1.0,0.53,1.25,,3.0,0.0,,14.8,,946344.0,3154.48,219.25162810347888,,2800.0,1947.0,,1.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,1.0,0.0,,4.0,,17.0,,24.0,58800.0,2.0,8400.0,,,98680.90544128856,1
149.2,0.37,0.04,4.4,0.684275265391639,0.76,0.92,1.0,2.0,0.1484615152430143,,,,0.37,3.0,0.0,4.0,11.0,,171360.0,604.8,279.28910978473414,2851.3761255847376,2800.0,1929.0,,1.0,742691.372583739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,752.8679145320866,0.0,,14.0,22050.0,,2160.0,,,,1
0.0,0.31,0.11,3.9,0.601148719336844,0.83,0.77,1.0,1.0,,1.0,0.22,1.25,0.31,3.0,0.0,7.0,7.2,5234599.449787665,247740.0,1651.6,260.3868728521818,,2800.0,,,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,772.1890713144213,,,58.0,69600.0,,,,,,1
,,,,0.6657182142905029,0.74,0.72,1.0,0.0,29.42883603832618,1.0,0.43,1.25,0.36,,,5.0,7.2,2016149.7078852092,187360.0,1980.0,,2904.456934222718,2800.0,1934.0,,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,624.8145622788047,1.0,,28.0,40800.0,0.0,,,7680.0,59335.99141698031,1
,0.34,0.06,5.0,0.627870009308301,0.77,0.86,1.0,0.0,24.484964562461883,1.0,0.61,1.25,0.34,,0.0,,18.0,1283309.0132758005,284647.25,2190.49,307.1556280407645,4379.333236616844,2800.0,2021.0,,1.0,506945.4916312648,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,4.0,1138.8956356182457,5.0,12500.0,6.0,21000.0,10.0,35000.0,,,,0
0.0,,,5.5,0.313136439817356,0.58,0.6,1.0,1.0,82.86694837910743,,0.42,,0.26,2.0,3.0,8.0,10.8,6822941.756281594,532980.0,,217.0172312538194,2767.6509739490552,2800.0,1975.0,,0.0,2603203.486625096,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,2825.599687159156,20.0,42525.0,39.0,78975.0,,,,,121174.71001740092,1
,0.45,0.04,1.2,0.6866797315983096,0.63,,1.0,0.0,29.56887809538552,1.0,0.37,1.25,0.45,1.0,0.0,2.0,7.2,5025722.970075956,618099.06,747.0,158.9348268185553,2661.375116435966,2800.0,2013.0,,1.0,843809.7251935787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,2.0,,11.0,19250.0,22.0,38500.0,5.0,4800.0,,,,1
,,,,,,,1.0,1.0,,1.0,0.27,1.25,,3.0,,2.0,7.44,6089993.484003571,247830.0,901.2,251.66427702557007,2669.0973264578365,2800.0,1891.0,,,2657668.405614229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,,946.2069141202978,0.0,,24.0,54600.0,3.0,3807.0,29256.0,,116233.97806962072,1
0.0,0.28,0.0,1.1,0.390233412596264,1.75,,2.0,2.0,,2.0,0.24,1.25,,1.0,0.0,0.0,7.0,3425705.152853372,,,193.8415758053432,2431.392027788825,2400.0,1991.0,,0.0,2704246.6189283635,,1.0,0.0,,0.0,0.0,,0.0,1.0,,,0.0,0.0,0.0,,742.3960655493569,0.0,,0.0,,16.0,,,,,0
0.0,,0.05,1.0,0.5198130464219768,0.68,,,1.0,50.380420107213205,1.0,,1.25,0.32,2.0,0.0,3.0,13.4,,435000.0,1190.0,64.28123141063116,4284.272639115415,2800.0,2015.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,16.0,27489.0,,47500.0,0.0,,,,70150.08225617166,0
0.0,0.29,0.11,,0.5942878168105359,0.83,0.72,1.0,1.0,,1.0,0.28,1.25,0.29,3.0,0.0,3.0,9.9,3751033.7953080647,,,206.96135200318187,2771.675014306324,2800.0,2019.0,,1.0,1840649.699400267,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.0,,0.0,,8.0,,0.0,,,,128678.67868349396,1
0.0,0.24,,6.1,0.9598584013550486,1.6,0.6,1.0,2.0,31.081736000904726,1.0,,1.25,0.24,4.0,12.0,0.0,14.0,,587580.0,2238.4,48.41133952161468,2792.4689571502045,2800.0,1916.0,,1.0,548913.1493843491,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4.0,2997.2995470067963,0.0,,24.0,54000.0,0.0,,,,161412.58800426073,1
,0.24,,2.3,0.4834374936266603,0.83,0.77,1.0,0.0,54.326826672714034,1.0,0.22,1.25,0.32,3.0,1.0,7.0,14.4,1784677.926959484,682425.0,1837.43,127.4507332185579,2961.909850014524,2800.0,2020.0,,,2532167.525539466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,,0.0,3.0,,,,,,14.0,,,,,1
0.0,0.24,0.55,9.8,0.6034661787997303,1.05,0.6,,,1.3052557035073402,1.0,0.42,1.25,,4.0,2.0,,10.8,,528000.0,1980.0,182.7857701063603,2742.589378300796,2800.0,1967.0,30360.0,1.0,1309324.4687370998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2826.387447943699,,,44.0,77000.0,0.0,,,39240.0,38292.30199494709,1
231.0,0.32,,,0.9481257518071792,0.68,,,1.0,41.62745470288881,,0.39,1.25,,1.0,0.0,2.0,3.75,,799976.25,1893.53,,4216.899223688553,1960.0,2004.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,2510.180652786826,0.0,6782.0,39.0,37200.0,3.0,1875.0,,,109862.47253425076,0
,,,,,,,,1.0,21.065985170767757,2.0,,1.25,0.36,3.0,0.0,2.0,6.9,7032240.556185657,310432.5,1379.7,108.31775568937758,2904.0096591677016,2800.0,2018.0,,0.0,2196200.089202645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,2.0,2174.281248688025,6.0,9000.0,36.0,54500.0,0.0,,,,120382.95074451168,1
,0.24,0.13,4.8,0.6198339649503782,1.05,0.6,1.0,0.0,106.13150342664812,1.0,,1.25,0.24,4.0,0.0,6.0,18.0,9332786.593314458,1032264.0,4301.1,81.90103189719557,4075.707886230765,2800.0,1978.0,,1.0,2380001.55945874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,6.0,9600.0,52.0,124800.0,0.0,,,,108558.56355256902,1
0.0,0.31,,3.3,0.6873992731846432,0.83,0.77,2.0,,45.964708252426185,1.0,0.8,1.25,0.31,3.0,0.0,4.0,3.85,2596048.495990716,617940.0,2059.8,366.5884014013054,4329.352234822248,2810.0,1931.0,,1.0,2671880.063911734,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1660.065092846848,3.0,6400.0,19.0,44520.0,0.0,,,,98997.29335886128,1
0.0,,0.58,4.0,0.3169981660947533,,0.6,,1.0,110.32762659296756,1.0,0.39,,,1.0,3.0,2.0,3.4,3742357.2877699407,,,75.48599739528062,2953.093307737668,,1986.0,,1.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,0.0,,0.0,2.0,,0.0,,,23625.0,,,,28896.0,178608.7465721016,0
,,,,,,,,1.0,108.78501238129871,1.0,,1.25,0.31,,0.0,9.0,10.5,3385591.46672777,717075.0,2868.3,28.61954718913401,,2800.0,1939.0,6600.0,0.0,1204207.2384798096,0.0,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1735.253338359814,8.0,10175.0,44.0,70400.0,10.0,,36080.0,35200.0,74970.62690897002,1
,0.24,0.03,2.1,0.536219396947693,,0.6,,1.0,79.78884985456868,1.0,,1.25,,3.0,0.0,2.0,7.6,,207600.0,,116.56381349342448,2639.8225193350418,2800.0,1971.0,,0.0,1719439.8138897913,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,2186.793790474536,0.0,,39.0,46800.0,,6720.0,24240.0,,125338.94227904773,1
0.0,0.26,0.04,5.1,0.4441129984138876,0.74,0.66,1.0,1.0,,1.0,0.36,1.25,,2.0,0.0,3.0,13.85,,318250.0,1340.0,305.1584360980149,2708.5264143698587,,2002.0,16320.0,1.0,1640139.6886687144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,2326.534533090119,,,24.0,52800.0,0.0,,,,111178.9253792776,1
,0.34,0.08,3.5,0.5119443740681017,0.68,0.86,1.0,,12.04353830202026,1.0,0.38,1.25,0.34,1.0,0.0,10.0,15.0,,1553000.0,6212.0,391.1326677101709,2733.703429662343,2800.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6786.702810252732,,,22.0,52800.0,0.0,,,,99960.78521797148,0
,,0.08,1.88,,0.83,0.77,,0.0,93.6986834819935,,0.38,1.25,0.31,3.0,0.0,6.0,9.45,,149971.5,1285.47,166.4362546348201,,2800.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2661.0986216189585,0.0,,12.0,16900.0,14.0,22900.0,,,,1
537.16,0.24,0.27,2.5,0.6631162524850421,1.05,0.6,,,103.62939746866458,1.0,0.64,1.25,0.24,4.0,0.0,,18.9,,840246.0,2897.4,35.00977700965018,4320.365769719358,2800.0,2017.0,,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1577.2952397284366,,14255.0,34.0,67177.0,0.0,,,16124.0,147135.5082049758,1
0.0,,0.11,2.7,0.623043763242102,0.77,0.77,1.0,0.0,54.86765461672103,1.0,0.22,1.25,0.31,3.0,0.0,4.0,7.0,,140814.0,,,2604.4500253655824,2800.0,1997.0,,0.0,2491855.7359910524,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,,2.0,1247.6716245678003,0.0,,14.0,16800.0,,,,,78110.65738709137,1
424.6,0.2,,5.0,0.5534715935388468,0.63,,1.0,1.0,42.992775545737885,1.0,0.22,1.25,0.41,3.0,0.0,,7.2,3229058.624351944,2795070.0,968.0,117.8847978628367,2910.1861546473374,2800.0,1976.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,3.0,,16.0,,,36000.0,,,,,24801.23258441291,1
,,0.08,1.5,,,,1.0,0.0,10.286957019724458,1.0,,1.5,0.39,1.0,0.0,,14.4,4624260.281380678,525905.75,4428.68,,2589.673467144939,2800.0,2017.0,,1.0,1361018.56258992,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,,0.0,,48.0,109200.0,,25680.0,,,134417.8670457102,1
0.0,,0.03,3.95,,0.83,0.77,1.0,0.0,23.96544612668201,1.0,0.28,1.25,0.31,3.0,,2.0,6.4,,,,153.87475323305108,,2800.0,1991.0,,1.0,971979.1336788828,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,4.0,4200.0,4.0,,6.0,9100.0,,,152110.69522180466,1
,,0.4,2.0,,,,1.0,0.0,45.930750397613664,2.0,0.42,1.25,,,3.0,6.0,10.8,3680601.552284547,446880.0,1787.52,74.99796875233524,2603.1162272828574,2800.0,,,1.0,806296.2046877332,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,,0.0,0.0,3.0,1322.654623249511,0.0,,24.0,38700.0,0.0,,,,,1
