D_floorTAGround,D_Demand,D_MaxCl,D_NeutralDepth,D_sd1,D_td0,D_sds,D_patitionwall,D_nonstructure,D_Ty,D_windows,D_Tx,D_I,D_475Acc,D_basintype,D_CLlarge,D_CLsmall,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_Dbuild,D_Y3brickwall,D_StructureSystem_RC,D_Y4brickwall,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_isR
,0.3,0.04,2.7,0.5280922570771615,0.75,0.76,1.0,0.0,61.73147186430677,,,1.25,0.3,1.0,0.0,6.0,21.45,7244065.866169971,983862.5,3935.45,,4041.490200307131,2800.0,,,1.0,1582773.9514744254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,5.0,,0.0,,20.0,111400.0,0.0,,,,38151.397905032456,0
427.0,,0.12,2.0,0.2975562480666057,,0.7,1.0,0.0,108.46996656149253,1.0,0.3,1.25,0.28,1.0,,6.0,10.9,3537393.936629178,384030.0,1280.1,195.79591823024828,2706.29349678155,2800.0,2008.0,5000.0,1.0,1299848.3512999266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,3.0,942.2425633262792,0.0,,36.0,49520.0,0.0,,15600.0,19200.0,58658.81938411246,1
,,,,,,,0.0,,82.18461255281693,1.0,0.27,1.25,0.25,1.0,,1.0,5.95,6840851.713938961,,968.0,117.7672612440394,,2800.0,1896.0,14850.0,0.0,1248375.887558795,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1364.4192698820596,,,26.0,54600.0,8.0,9800.0,,,,0
416.94,0.36,0.49,3.3,,0.77,0.9,1.0,0.0,,1.0,0.45,1.25,0.36,2.0,,5.0,12.0,5015088.182210686,753465.5,2659.29,36.109530390141146,2991.3845191563355,2800.0,1945.0,,1.0,720106.6573111382,0.0,,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2516.699995835347,0.0,,50.0,87500.0,,,28800.0,14400.0,,1
0.0,0.29,0.03,4.5,,0.62,0.72,1.0,1.0,110.38052691923316,1.0,0.55,1.25,0.29,,,8.0,14.72,,1289113.43,4325.88,317.00983199933484,4081.97228427871,2800.0,2000.0,,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,3.0,3522.311756806095,0.0,,34.0,267750.0,,,,,79320.73800320714,0
,,0.0,1.8,0.5323667142892945,,0.7,1.0,0.0,5.52662702496849,1.0,0.22,1.25,0.28,2.0,0.0,2.0,7.2,1643950.084477027,240010.0,,121.7528420852577,2663.206992778619,,1955.0,21600.0,1.0,1085738.15795541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,2.0,,0.0,,32.0,56000.0,0.0,,,,41213.35833612344,1
199.89,0.34,0.04,,0.5526274079940635,0.71,0.8,1.0,1.0,63.030900992782776,1.0,0.45,1.25,0.34,,0.0,4.0,12.25,,267195.0,890.65,202.42519740799324,2637.2089585371978,,,,1.0,1644420.7662962235,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,1.0,0.0,,0.0,,861.5257323235179,0.0,,18.0,,,,,,110440.5753371219,1
402.48,0.32,0.42,3.0,0.4977567089679297,0.56,0.8,1.0,,5.91759379638092,1.0,0.29,1.25,,,,4.0,7.55,1780327.5654195966,287100.0,1241.1,100.38652966148346,,2800.0,2018.0,,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,901.02154267717,0.0,,24.0,54600.0,,,,,91107.6575427617,0
0.0,0.32,0.01,0.9,0.6310980074601019,0.84,0.8,1.0,0.0,4.643705797257148,1.0,0.43,1.25,0.32,,0.0,3.0,11.4,,1209327.0,4031.09,339.2605017919112,2924.894539650103,2800.0,,6480.0,1.0,2750575.0777194127,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,2.0,3463.3376644864115,,,66.0,173978.0,0.0,,,,,1
644.69,0.26,,,,0.74,0.66,1.0,0.0,,1.0,0.31,1.25,0.26,1.0,0.0,6.0,,2521514.6540266154,1181160.0,3937.2,147.35759847401334,2908.481678613369,2800.0,2006.0,,1.0,965087.0425960772,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3853.930065431828,,,109.0,153830.8,,24000.0,,,52304.41469563065,1
0.0,,0.03,6.1,0.7363038056315768,0.63,,1.0,1.0,108.53570718051864,1.0,0.26,1.25,0.31,2.0,,,11.4,,184065.0,1554.0,74.703372213195,2628.8755885185155,2800.0,1812.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,1239.3404536670544,0.0,,66.0,70000.0,0.0,25890.0,,,137144.69883565663,1
0.0,0.22,0.34,,0.4641796965663252,,0.55,1.0,0.0,81.90147788359741,,0.31,1.25,,2.0,1.0,3.0,7.2,4537401.749861535,180000.0,,54.525173451663406,2959.65626206636,2800.0,1914.0,,1.0,1636920.853546353,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,1.0,,0.0,0.0,1.0,1179.4531225684811,0.0,,10.0,,10.0,15750.0,,,105139.5761944354,1
308.4,0.31,,2.66,0.6102334533509385,0.77,0.77,1.0,1.0,40.31698132587637,1.0,0.36,1.25,0.31,3.0,0.0,7.0,13.8,,461106.0,1537.02,250.4031646498381,4151.478564909379,2800.0,1982.0,,1.0,2531594.670034369,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,744.9981045713773,,50565.0,20.0,29760.0,0.0,,,,62650.93796931015,1
,,0.28,2.1,0.4942755548581195,0.9,,1.0,0.0,67.76553888892549,1.0,,1.25,0.24,3.0,0.0,9.0,12.3,5608349.491829581,,4472.1,170.27388839392398,,2800.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4693.927795773618,0.0,,94.0,162810.0,16.0,27540.0,,3360.0,73352.44531348834,1
0.0,,,4.58,0.5526755399815814,0.59,,1.0,1.0,,,0.43,1.25,0.37,1.0,0.0,5.0,7.2,1588610.0234154947,397200.0,1324.0,242.70373464579723,2170.077280658632,2800.0,,,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,1477.6902629922802,0.0,,44.0,52800.0,10.0,10000.0,,,129792.54451971556,1
0.0,0.24,,9.0,0.6008043202109292,0.99,,1.0,0.0,70.54894198444242,,0.54,1.25,0.24,3.0,0.0,3.0,,7331644.300536977,256035.0,2048.28,14.183806239563154,,2800.0,1975.0,,0.0,1464325.670924521,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,2130.1072298189065,18.0,27225.0,28.0,33600.0,8.0,7680.0,,,,1
,0.24,0.32,8.5,0.5541379585827828,1.05,,1.0,1.0,90.51517569706176,1.0,0.51,1.25,0.24,4.0,1.0,12.0,14.23,4631328.570649658,907560.0,3025.2,,,2800.0,1987.0,,1.0,1201896.3214816193,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,,,3861.2707346340303,0.0,,38.0,,0.0,,,,,1
0.0,0.24,,5.9,0.9934037193079128,1.6,0.6,1.0,2.0,89.41512724344919,1.0,0.52,1.25,0.24,4.0,11.0,3.0,14.4,6873106.90534614,2006650.0,6980.0,1.8286502382795788,,,2022.0,,,627479.7677444951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6510.161514463978,21.0,47408.0,50.0,123200.0,,6720.0,,,154860.11986661452,1
0.0,0.22,,3.5,0.4492826950668299,0.82,0.55,1.0,0.0,,1.0,0.22,1.25,0.22,2.0,,2.0,7.2,1950958.1545069488,185322.5,673.9,107.19376217923082,,,2018.0,,0.0,3419004.1841590656,0.0,,1.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2.0,,0.0,,,29750.0,,,,,81876.09696462,0
